Search Term,Date,Hour,Minute,User ID,Total Unique Searches,Search Depth,Time after Search
Advisor,20180606,12,12,U001LCE,1,2,132.00
advisor active fixed income,20180614,08,24,U0001LE,1,0,13.00
advisor age,20180502,13,49,87a78239-5a9e-e711-9401-00155d9b7010,1,1,238.00
advisor age,20180627,14,24,Anonymous-User,1,19,292.00
advisor aum,20180518,15,12,4a946f66-fcfa-e711-810a-c4346bdcf291,1,0,47.00
advisor challenges,20180411,10,21,b94202d5-7c2f-e711-9400-00155d613980,1,1,833.00
advisor compensation,20180614,10,40,Anonymous-User,1,7,542.00
advisor compensation,20180619,12,14,U000EQN,1,0,120.00
advisor compensation,20180627,16,46,U001CTL,1,1,44.00
advisor compensation,20180627,18,56,U001CTL,1,1,65.00
advisor consolidater,20180514,17,00,91336f07-024f-e811-bd6d-00155d9b4cc4,1,0,0.00
advisor consolidator,20180514,16,59,91336f07-024f-e811-bd6d-00155d9b4cc4,1,0,12.00
advisor demand for flexibility,20180611,11,53,U001KI4,1,0,5.00
Advisor fee,20180411,11,13,Anonymous-User,1,0,19.00
advisor geographic location,20180430,14,09,Anonymous-User,1,0,72.00
advisor headcount,20180618,08,30,U0001LE,1,1,80.00
advisor landscape,20180620,20,17,281e237d-9b0a-e811-90cd-00155d9b643b,1,0,0.00
advisor marketplace,20180620,11,32,662703cd-a6bd-e711-8107-c4346bdca201,1,1,65.00
advisor metrics,20180402,14,45,662703cd-a6bd-e711-8107-c4346bdca201,1,2,860.00
advisor metrics,20180409,19,47,7ac2cfb5-4617-e811-90ce-00155d9b90b7,1,1,1284.00
advisor metrics,20180410,15,38,ac985336-fcdc-e611-80fe-5065f38be1c1,1,2,38.00
advisor metrics,20180502,13,53,87a78239-5a9e-e711-9401-00155d9b7010,1,1,57.00
advisor metrics,20180503,11,13,007dcb6b-e6d1-e611-80fc-5065f38afab1,1,0,87.00
advisor metrics,20180504,12,02,U001D75,1,0,543.00
advisor metrics,20180507,15,59,U0011A3,1,1,80.00
advisor metrics,20180510,08,13,a8fb53ff-1004-e711-80fc-5065f38bf1b1,1,3,667.00
advisor metrics,20180514,16,10,dfd03f16-e1fa-e711-90cd-00155d9b643b,1,0,109.00
advisor metrics,20180515,08,52,U0011A3,1,1,38.00
advisor metrics,20180516,10,38,U001KI4,1,1,32.00
advisor metrics,20180516,11,51,U000T8J,1,3,77.00
advisor metrics,20180529,17,49,U001CKT,1,1,22.00
advisor metrics,20180530,20,19,dbe0eb8f-0e0f-e711-8100-5065f38a5961,1,1,670.00
advisor metrics,20180531,12,54,007dcb6b-e6d1-e611-80fc-5065f38afab1,1,0,81.00
advisor metrics,20180603,10,12,Anonymous-User,1,1,42.00
advisor metrics,20180604,10,04,d50db4b5-ebd5-e711-9401-00155d9b40ed,1,1,157.00
advisor metrics,20180604,20,32,U001IUR,1,1,41.00
advisor metrics,20180605,12,13,U001BII,1,1,45.00
advisor metrics,20180606,20,04,U001D75,1,1,14.00
advisor metrics,20180619,11,51,U001AB0,1,0,0.00
advisor metrics,20180622,10,27,U001K0N,1,1,304.00
advisor metrics,20180625,17,21,U001D53,1,1,43.00
Advisor metrics,20180411,06,49,U000XR9,1,1,101.00
Advisor metrics,20180529,19,54,007dcb6b-e6d1-e611-80fc-5065f38afab1,1,0,210.00
Advisor Metrics,20180409,11,02,U001LCE,1,0,101.00
Advisor Metrics,20180521,10,24,U000XR9,1,0,14.00
Advisor Metrics,20180529,07,16,U000XR9,1,0,12.00
Advisor Metrics,20180601,08,37,U000XR9,1,4,955.00
Advisor Metrics,20180611,11,17,U001LCE,1,1,1480.00
Advisor Metrics,20180626,11,33,U001LCE,1,0,155.00
Advisor Metrics,20180627,13,08,U001LCE,1,0,38.00
advisor metrics 2017,20180521,15,02,f90802b2-61a4-e711-9401-00155d9b7010,1,0,54.00
advisor metrics 2017,20180606,14,54,U001JWC,1,1,21.00
Advisor Metrics 2017 Information Packet,20180622,14,53,Anonymous-User,1,0,0.00
advisor metrics report,20180621,10,32,35b89fb0-5c6b-e811-8120-c4346bdc0301,1,0,185.00
advisor model,20180523,14,09,b94202d5-7c2f-e711-9400-00155d613980,1,0,10.00
advisor movement,20180406,04,42,U000XR9,1,0,232.00
advisor movement,20180524,15,18,8663aaf8-6d8a-e611-80f2-5065f38a5961,1,3,53.00
advisor payout,20180605,08,23,U0019Q5,1,0,0.00
Advisor Portfolio Construction Process,20180419,16,39,c5efcf93-2c56-e711-8107-5065f38afab1,1,0,18.00
advisor practice location,20180430,14,10,Anonymous-User,1,0,0.00
advisor product demand,20180622,16,48,Anonymous-User,1,1,164.00
advisor profit,20180426,16,34,Anonymous-User,1,4,1263.00
advisor profit,20180426,16,36,c5efcf93-2c56-e711-8107-5065f38afab1,1,0,80.00
advisor relationship,20180412,11,58,768859f3-3f1b-e811-90ce-00155d9b412e,1,1,10.00
advisor retention,20180411,09,19,Anonymous-User,1,0,849.00
advisor revenue,20180606,09,40,c5efcf93-2c56-e711-8107-5065f38afab1,1,4,53.00
advisor segment,20180413,15,15,b94202d5-7c2f-e711-9400-00155d613980,1,0,1713.00
advisor segment,20180415,12,36,b94202d5-7c2f-e711-9400-00155d613980,1,1,5.00
Advisor Sources,20180514,12,45,U00199W,1,0,13.00
advisor time,20180607,15,50,f71f848c-856a-e811-8120-c4346bdc0301,1,1,55.00
advisor time allocation,20180425,10,34,U001HPR,1,0,1227.00
advisor tools,20180515,13,47,a2557064-8ea4-e711-9401-00155d9b7010,1,1,64.00
advisor trust,20180521,13,36,U0012V6,1,0,135.00
Advisor Use of Managed Accounts,20180405,15,47,1f8dddbc-8237-e811-8110-c4346bdcf291,1,4,143.00
advisor use of model,20180427,17,50,dfd03f16-e1fa-e711-90cd-00155d9b643b,1,0,32.00
advisor-mediated,20180516,20,24,U000U6E,1,0,4.00
advisors,20180608,17,38,6d4b199d-b032-e811-8113-c4346bdca201,1,1,1064.00
Advisors,20180418,16,23,f1959625-1130-e711-8104-5065f38be1c1,1,4,228.00
Advisors,20180525,14,07,Anonymous-User,1,2,57.00
Advisors,20180604,16,38,Anonymous-User,1,1,20.00
Advisors,20180606,16,36,Anonymous-User,1,0,3.00
Advisors,20180618,11,28,Anonymous-User,1,1,65.00
Advisors,20180618,15,58,Anonymous-User,1,0,0.00
advisors investment models,20180608,10,22,1218eecc-4e58-e811-bd6d-00155d9b4cc4,1,0,9.00
Advisors Time allocation,20180524,16,05,Anonymous-User,1,1,16.00
advisors use outsource portfolio management,20180424,14,22,0092382e-4fbe-e711-8107-c4346bdca201,1,0,8.00
advisory,20180517,09,54,Anonymous-User,1,1,115.00
advisory,20180530,14,41,dbe0eb8f-0e0f-e711-8100-5065f38a5961,1,1,189.00
advisory,20180530,20,09,dbe0eb8f-0e0f-e711-8100-5065f38a5961,1,0,538.00
advisory,20180612,04,52,Anonymous-User,1,1,36.00
Advisory,20180530,12,35,dbe0eb8f-0e0f-e711-8100-5065f38a5961,1,0,0.00
Advisory Account Fee,20180514,14,11,da21653d-d439-e811-bbd3-00155d9b6fb4,1,0,10.00
advisory assets,20180507,15,03,U00000Y,1,0,26.00
advisory fee,20180514,14,11,da21653d-d439-e811-bbd3-00155d9b6fb4,1,0,436.00
advisory penetration,20180517,09,54,Anonymous-User,1,0,7.00
advisory practice,20180530,20,18,dbe0eb8f-0e0f-e711-8100-5065f38a5961,1,0,81.00
advisory programs,20180501,09,47,U001KI4,1,0,294.00
advisory redemption rate,20180601,18,01,U001CTL,1,0,10.00
AEJ AuM,20180420,15,16,Anonymous-User,1,0,7.00
affluent,20180508,15,47,b8ebee5f-5a4a-e811-a822-00155d9b3b30,1,2,250.00
Affluent,20180403,11,14,Anonymous-User,1,0,0.00
Affluent,20180416,16,16,Anonymous-User,1,0,0.00
affluent market,20180620,13,17,7ce2d8c0-2751-e711-8107-5065f38afab1,1,2,81.00
african american financial advisers,20180519,07,26,Anonymous-User,1,1,31.00
age,20180424,17,23,87a78239-5a9e-e711-9401-00155d9b7010,1,1,63.00
aggregators,20180601,14,17,U001CTL,1,1,40.00
AI,20180423,17,40,b1aac45d-55df-e711-810b-c4346bdca201,1,0,10.00
